,Name,Age,Tm,wOBA,wRAA,BA,SLG,OBP,BAbip,SB,HR,BB,1B,2B,3B,SO,Reliability,bat_WAR
17,Dalton Combs,29,TRI,0.3876443872549019,5.876586813826617,0.3250833333333333,0.49575,0.40408333333333335,0.34345791004082465,8,8,32,60,13,2,35,1.0,0.5876586813826618
18,Phil Ervin,31,NJJ,0.39725433919864356,5.051072874997561,0.3082484059808527,0.493087247935796,0.4100364002331126,0.36285742713117203,14,7,27,39,11,0,44,0.5475,0.5051072874997561
19,Keon Barnum,31,NJJ,0.43921930671357984,20.548579032150418,0.3144848374884333,0.621759445779059,0.4239856541835717,0.33893672001231634,0,23,49,49,6,0,67,0.9225,2.0548579032150416
20,Ed Johnson,24,FLR,0.36925664197961067,0.1762025798542546,0.30378094748736556,0.4453463369278951,0.3795012434159014,0.3564256166904882,19,4,18,39,11,0,36,0.375,0.01762025798542546
21,Josh Rehwaldt,27,NJJ,0.41835287204877697,15.791945763239585,0.3145833333333333,0.61025,0.384,0.37066567818861396,8,28,41,64,23,0,108,1.0,1.5791945763239585
22,L.P. Pelletier,28,TRI,0.39962180962952404,8.931166965014345,0.32616666666666666,0.5238333333333334,0.39241666666666664,0.37456260393880947,20,9,19,58,20,2,54,1.0,0.8931166965014345
23,Johnny Hipsman,24,SSX,0.3644248521926691,-0.4840591484660894,0.3030283333778204,0.4458078687984909,0.384071698652929,0.3642081393603563,2,5,22,41,7,1,43,0.39749999999999996,-0.04840591484660894
24,Matt McDermott,25,RKL,0.37485016088949197,0.9317394804534664,0.3088121507758559,0.46005659851234965,0.3847864078404157,0.3678378089108516,23,7,26,60,13,2,56,0.795,0.09317394804534665
25,Will Prater,25,SCH,0.34346593998908026,-5.504219500126776,0.3061296922823688,0.4036756875044486,0.3710962510232045,0.3601381726007199,15,3,23,58,9,1,45,0.6225,-0.5504219500126777
26,Alfredo Marte,35,NJJ,0.3814684931792354,3.8179488309527243,0.29766666666666663,0.5285,0.36450000000000005,0.30780906573543876,8,17,29,58,22,0,52,1.0,0.38179488309527243
27,Tucker Nathans,35,RKL,0.3851871194898261,4.417594942889301,0.28608333333333336,0.5185,0.37441666666666673,0.3116473519956793,10,17,42,52,18,0,67,1.0,0.44175949428893013
28,Liam McArthur,27,JOL,0.3544137566137566,-6.728776055887197,0.31655555555555553,0.373,0.4066666666666667,0.3679348004060648,15,1,52,95,14,1,53,1.0,-0.6728776055887197
29,Rusber Estrada,29,NJJ,0.4120612279371548,9.356449963991267,0.30427496890348066,0.5853222098547939,0.39368014160260517,0.34176951241490755,0,16,28,39,10,0,59,0.6775,0.9356449963991267
30,Gaige Howard,26,SCH,0.3966282973621103,8.357340818837757,0.307,0.45,0.434,0.36398467432950193,21,5,68,58,23,0,61,1.0,0.8357340818837757
31,D.J. Stewart,25,GAT,0.36753480346507345,-1.5563429079099882,0.3056179806391914,0.4889661655633853,0.3596880795786177,0.3215189081700421,22,11,24,62,19,0,47,0.96,-0.15563429079099883
32,Kevin Rolon,25,NJJ,0.37074936085535276,0.3858334254697479,0.2989932849757989,0.48195828270695407,0.3743568975994732,0.35211076817581827,3,6,17,32,10,0,38,0.2975,0.03858334254697479
33,Patrick Kivlehan,34,RKL,0.4155384615384615,14.348632419473013,0.304,0.586,0.392,0.3153846153846154,7,18,36,45,19,1,54,1.0,1.4348632419473013
34,Wagner Lagrange,28,WST,0.37973498842421555,1.7480194054547153,0.32266666666666666,0.5127777777777778,0.37155555555555553,0.35092685092685094,11,13,24,76,25,1,61,1.0,0.17480194054547155
35,Brennan Price,28,FLR,0.43507307880236634,19.314412000712395,0.30622222222222223,0.5953333333333333,0.43522222222222223,0.34563943282258663,2,23,59,52,19,0,82,1.0,1.9314412000712395
36,Blake Grant-Parks,30,SCH,0.332854810074618,-6.089869953818095,0.28900381512919066,0.40468686543526233,0.3523886334436615,0.3651093264625448,0,2,17,41,14,0,49,0.905,-0.6089869953818094
37,Malik Williams,24,TRI,0.3622021502435653,-0.8543652389669322,0.2987807192682752,0.48298940066908663,0.3580571538899565,0.333352261812989,0,7,16,38,12,0,36,0.42000000000000004,-0.08543652389669322
38,Chris Kwitzer,29,RKL,0.35320736756454063,-3.7996744749011024,0.29100000000000004,0.46741666666666665,0.34199999999999997,0.3568982103464862,12,11,22,64,21,2,86,1.0,-0.37996744749011024
