,Name,Age,Tm,ERA,FIP,IP,K,BB,HR,K%,BB%,HR%,Reliability
35,Lance Lusk,25.0,NJJ,4.782450222222221,3.8308630876981966,59.4208,62,21,6,0.21616613229436532,0.06015835134818042,0.030071276331949212,0.392
36,Kobey Schlotman,25.0,SCH,3.8819999999999997,4.196530962845037,87.21440000000001,83,29,12,0.22012971698113207,0.05520440251572327,0.03320361635220126,1.0
37,Zach Smith,25.0,EVN,4.57,4.561983740109916,100.69189999999999,90,51,11,0.17857142857142858,0.08333333333333333,0.01904761904761905,1.0
38,Jorge Tavarez,28.0,NJJ,3.653333333333333,3.2266577656152853,76.93599999999999,87,21,7,0.23864039408866994,0.04904761904761905,0.02166830870279146,1.0
39,Greg Veliz,27.0,TRC,4.0595066622807,3.9047878113615284,65.3486,65,26,6,0.21951380825831493,0.04034083585882086,0.02293753074051609,0.502
40,Brandon Backman,25.0,RKL,4.315374010964911,4.36344324211853,61.15789999999999,65,31,7,0.2500677223911548,0.05748257978210452,0.01263827137532663,0.42100000000000004
41,Angelo Baez,25.0,TRC,4.216666666666667,4.472372681058438,110.95876,86,35,14,0.1755380389712445,0.06207175455444637,0.028684097382140124,1.0
43,Jimmy Boyce,27.0,SSX,3.3909045204678354,4.018780968058195,65.9416,47,17,6,0.16669580119428332,0.04959846986441649,0.016571020621467904,0.512
44,Evan Brabrand,28.0,FLR,5.516,4.095572283773861,110.27099999999999,106,40,13,0.23214164113040514,0.08450800136193395,0.028668709567585972,1.0
45,Damon Casetta-Stubbs,24.0,OTT,3.77,3.6246946339031414,99.33,102,35,9,0.2204724409448819,0.02099737532808399,0.013123359580052493,1.0
47,Aaron Glickstein,27.0,SCH,3.7399999999999998,3.074595128116523,99.88492,85,23,5,0.2001713419456803,0.05062708066126236,0.01385206790987098,1.0
48,Austin Gossmann,28.0,SCH,5.366,4.309374944204475,92.65360000000001,79,44,8,0.16356007978540477,0.08250223536694408,0.028736501822683815,1.0
49,Jackson Hickert,26.0,SCH,4.8972054875731,4.87712845016519,88.26759999999999,70,55,7,0.17827956546650583,0.08635241788332193,0.018170735421097383,0.881
50,Jake Joyce,32.0,SCH,3.207396410818713,3.638153485437273,59.32754880694144,63,28,4,0.24541904453192098,0.07078453144279158,0.012406394986180364,0.83
51,Stephen Knapp,27.0,WST,4.2700000000000005,4.524002109552239,81.84585999999999,48,22,9,0.1359028068705488,0.045328864683703396,0.02553414327607876,1.0
52,Carson LaRue,28.0,GAT,4.694,5.252902522238852,106.87259999999999,102,35,23,0.09726443768996962,0.0364741641337386,0.023100303951367782,1.0
53,Jose Ledesma,24.0,SSX,4.188762112573099,4.909845470652192,78.862,65,35,11,0.0603687144167203,0.02068079258383606,0.006330049566225774,0.71
54,Cristian Lopez,26.0,SCH,4.5771273859649115,3.7607262216315274,71.0432,64,29,5,0.24638708159944847,0.029095735773121075,0.008905724906965916,0.5920000000000001
55,Nick MacDonald,26.0,OTT,5.6072330877192975,4.582808341271529,63.8912,53,26,7,0.1099126938345804,0.037653305118156684,0.011525055761955892,0.472
56,Mark Moclair,27.0,SSX,3.66,4.284462926048862,99.68329999999999,96,73,4,0.20642201834862386,0.0963302752293578,0.006880733944954129,1.0
57,Matt Mulhearn,26.0,LEC,4.468,4.737075061681162,104.66951999999999,76,40,13,0.16490125571423708,0.08122554079653346,0.029667524983835656,1.0
58,Billy Parsons,24.0,SSX,3.2345370760233907,3.6100849862688635,57.792,54,19,4,0.21602750767827927,0.06004036984018992,0.013969764559946536,0.36
59,Erasmo Pinales,29.0,OTT,3.2345370760233907,3.890084986268864,52.573932092004384,52,26,4,0.2279643497835424,0.06188097134394931,0.01667653147723977,0.36
60,Carlos Sano,31.0,OTT,5.1899999999999995,5.262288171558767,90.42437431991294,60,46,11,0.1431396888447534,0.08166997682886462,0.025413770274743463,1.0
61,Yasel Santana,27.0,LEC,4.41,4.516909464916902,110.06080000000001,97,57,11,0.20184114803926456,0.10763490956201106,0.0244805421296527,1.0
62,Yuichi Shiota,27.0,NJJ,4.455791869152046,4.257436398815196,61.138299999999994,50,20,7,0.160157258464575,0.059114775719646,0.030957628212679618,0.43100000000000005
63,Taylor Sugg,26.0,WCT,5.446666666666666,5.167169208526105,102.04711999999999,88,59,13,0.18295394438245,0.11498991594918047,0.0302747605251214,1.0
64,Zac Westcott,32.0,OTT,4.753333333333334,4.311094001084848,117.35357917570498,84,30,14,0.16217855627354985,0.038257596986736905,0.02360860063042348,1.0
65,Michael Barker,25.0,ESG,6.88,5.982677827180453,100.09289999999999,68,66,14,0.13089005235602094,0.04450261780104712,0.028795811518324606,1.0
66,Nick Belzer,28.0,TRC,5.508087814327484,5.511927590292194,70.21,52,26,13,0.1785067668432398,0.06029099350781904,0.024475696210689436,0.5900000000000001
67,Perry Bewley,26.0,LEC,3.7030866622807013,3.8347878113615286,65.6792,67,34,4,0.2221655084894143,0.08722206728833555,0.015179235923744878,0.502
68,Parker Brahms,26.0,EVN,2.55,3.1424001512526942,68.00359999999999,68,21,4,0.23136525646985898,0.04255385092205175,0.017449248411591508,1.0
69,Ricky Castro,24.0,JOL,4.099164549707602,3.6705893555648585,83.79839999999999,87,21,9,0.21594945902658264,0.03675699563058767,0.026464048914508577,0.792
70,Kevin Davis,25.0,EVN,3.0951070906432743,3.245989180022195,65.89,82,31,4,0.27259227766647337,0.06880571020836661,0.01643874044091127,0.5
71,Derrick Edington,24.0,WCT,3.3620435014619874,4.088105516178864,55.986,54,28,4,0.2201392137673653,0.08200198439867105,0.01951348616258292,0.32999999999999996
72,Nathan Florence,25.0,FLR,3.7965199415204665,3.572030239842196,62.296,70,32,4,0.11657406921849438,0.03993532361016618,0.012223543989953218,0.43999999999999995
73,Dariel Fregio,24.0,WST,4.086674025584795,3.969347435871861,69.89219999999999,55,24,5,0.15122574354806972,0.05748644118725528,0.017062385377838326,0.5609999999999999
74,Robbie Hitt,28.0,SSX,3.3782537821637413,3.3169383640348644,52.038,54,18,3,0.23501517197432237,0.06704548654367655,0.01567232961569002,0.28200000000000003
75,Hunter Hoopes,24.0,SCH,3.9484837967836244,4.482842557788196,61.5244,59,27,7,0.21409887064972374,0.054615784408746926,0.02601326901502711,0.42200000000000004
76,Tyler Jay,30.0,JOL,4.238592097953216,3.733941276898861,63.86462882096069,66,22,6,0.23719404990316206,0.056573714395468516,0.022340481018259535,0.5700000000000001
77,David Lebron,30.0,NJJ,3.7203625928362567,3.803374809085195,61.18995633187772,53,20,5,0.20196479922656027,0.06337391757329519,0.029932131176853675,0.521
78,Vin Mazzaro,37.0,NJJ,3.958,3.6931380056646033,62.806830309498395,72,19,8,0.07639257294429708,0.03607427055702918,0.010610079575596818,1.0
79,Kyle Mott,24.0,QUE,4.055769727339181,4.021429555511862,62.66819999999999,59,26,6,0.21223546645513836,0.07102161922794306,0.016995194493697866,0.44100000000000006
80,Ryan Munoz,25.0,RKL,4.6033333333333335,4.257010126660612,86.87896,65,29,9,0.16336074751829063,0.05524608533051657,0.023735553430301995,1.0
81,Henry Omana,30.0,WCT,2.995738789473683,3.49489046091153,51.9650655021834,55,19,4,0.2453242240732774,0.07611937119521844,0.018745693806488353,0.352
82,Bryan Peña,24.0,OTT,5.708607614766081,5.067231099715192,80.1262,76,41,12,0.05599718682102678,0.01918321794845483,0.0058716666666025295,0.7309999999999999
83,Gleyvin Pineda,27.0,NJJ,4.477276861842105,4.53948430193853,56.98729999999999,58,29,7,0.2206149279328261,0.05353229205643228,0.035183230920468676,0.361
